Description,Type,Version 8 Alias,Version 8 Program,v6 Name,Pgm Type,Form Status,"CodePort (needs, inits)",Print Preview Tested,"DocOut (needs,inits)",DocOut Tested,Comments
Return first/last scheduled dates,P,,,POC.CE,,,PPT-BP,,,,
Calendar Maintenance,P,,,POC.CF,,,PPT-BP,,,,
"Calendar Maintenance (Display, Modify Calendar, ChUI)",P,,,POC.CG,,,PPT-BP,,,,
"Calendar Maintenance (Display, Modify Calendar, GUI)",P,,,POC.CH,,,PPT-BP,,,,
Print Calendar,P,,,POC.CP,,,PPT-BP,,,,
Lot/Serial Number Receipt Entry,P,,,POC.DE,,,PPT-BP,,,,
Dropship Line Item Maintenance Entry,P,,,POC.DS,,,PPT-BP,,,,
"Delete Requisition, Purchase Order or Receipt",P,,,POC.EA,,,PS-BP,,,,
Generate PO Receipt General Ledger Postings,P,,,POC.GA,,,PS-BP,,,,
Generate PO Invoice General Ledger Postings,P,,,POC.GB,,,PS-BP,,,,
Requsition/Purchase Order Printing Input,P,,,POC.IF,,,PS-BP,,,,
Create QA/PO Receiver From PO Or PO From Requisition,P,,,POC.MA,,,NV-BP,,,,
"Generate Next PO, Requisition Or Receiver Number",P,,,POC.NA,,,NV-BP,,,,
Update Work Order Material/Subcontract Lines,P,,,POC.RA,,,SV-BP,,,,
"Accumulate Total For Requisition, PO Or Receipt",P,,,POC.TA,,,SV-BP,,,,
Retrieve/Update Vendor/Item Information,P,,,POC.UA,,,PPT-BP,,,,
Display Vendor Information and Comments,P,,,POC.VA,,,PPT-BP,,,,
Purchase Order Version Number,P,,,POC.VN,,,PPT-BP,,,,
Update Work Order Material/Subcontract Lines,P,,,POC.WA,,,SV-BP,,,,
