Description,Type,Version 8 Alias,Version 8 Program,Version 6 Name,Program Type,Form Status,"CodePort (needs, inits)",Print Preview Tested,"DocOut (needs,inits)",DocOut Tested,Comments
Status Inquiry - Lot/Serial,T,,,IVM.MN,Inquiry/Report?,,,,,,
Status Inquiry - Open Orders,T,,,IVM.MM,Inquiry/Report?,Done-JB,,,,,
Status Inquiry - Purchase Ords,T,,,IVM.MG,Inquiry/Report?,Done-JB,,,,,
Status Inquiry - Requisition,T,,,IVM.MX,Inquiry/Report?,Done-JB,,,,,
Status Inquiry - Work Orders,T,,,IVM.MJ,Inquiry/Report?,,,,,,
Status Inquiry - WO Where Used,T,,,IVM.MQ,Inquiry/Report?,,,,,,
Status Inquiry - BOM Where Used,T,,,IVM.MW,Inquiry/Report?,,,,,,
History Inquiry - Inv. Activity,T,,,IVM.MU,Inquiry/Report?,,,,,,
History Inquiry - Trans. History,T,,,IVM.ML,Inquiry/Report?,WIP-JB,,,,,
History Inquiry - Lot/Ser History,T,,,IVM.MO,Inquiry/Report?,,,,,,
History Inquiry - Lot/Ser Activity,T,,,IVM.MP,Inquiry/Report?,,,,,,
History Inquiry - PO History,T,,,IVM.MI,Inquiry/Report?,,,,,,
History Inquiry - WO History,T,,,IVM.MK,Inquiry/Report?,,,,,,
Product Types,T,IVC_PRODCODE,,IVM.AA,Entry,Done-JB,,,,,CLT
Transaction Codes,T,IVC_TRANCODE,,IVM.BA,Entry,Done-JB,,,,,
Buyer Codes,T,IVC_BUYCODE,,IVM.EA,Entry,Done-JB,,,,,CLT
Description Masterfile,T,IVM_DESCRIP1,,IVM.HA,Entry,Done-JB,,,,,CLT
Warehouses,T,IVC_WHSECODE,,IVM.CA,Entry,Done-JB,,,,,CLT
Item Classes,T,IVC_CLASCODE,,IVM.DA,Entry,Done-JB,,,,,CLT 
Item Types,T,IVC_TYPECODE,,IVM.GA,Entry,Done-JB,,,,,
Parameters,G,ARS_PARAMS,,,,,,,,,
Application Parameters,T,IVS_PARAMS,,IVP.AA/AB,Entry,Done-JB,,,,,
Inventory Factors,T,IVS_ABCPARAM,,IVP.AC,Entry,Done-JB,,,,,
New Item Defaults,T,IVS_DEFAULTS,,IVP.AE,Entry,Done-JB,,,,,
Default Display Columns,T,IVS_COLUMNS,,IVP.AD,Entry,Done-JB, ,,,,"New table, IVC_ACTIVYPES in version 8 to replace hard-coding in prev. versions - not maintainable by the user, but accessed from this form"
Utilities,G,,,,,,,,,,
Rebuild Cross References,A,IVX_CROSSREF,,IVX.AA,N/A,,,,,,
Rebuild Lot/Serial Cross References,T,IVX_LSXREFS,,IVX.UA,N/A,,,,,,
Rebuild Lot/Serial Transaction Cross References,T,IVX_LSTRANS,,IVX.HA,N/A,,,,,,
Rebuild Committed Quantities,T,IVX_COMMITTED,,IVX.CA,Update,,BJ-BP,,,,20Aug mods
Rebuild On Order Quantities,T,IVX_ONORDER,,IVX.EA,Update,,BJ-BP,,,,20Aug mods
Rebuild Beginning Balances,T,IVX_BEGBALS,,IVX.BA,Update,,BJ-BP,,,,20Aug mods
